author_name,rating,review_text,review_date,app_version,platform
Nickolas Brielmaier,3,"My SwiftKey keyboard is not a security risk like the app says every single time I log on. As if the factory keyboard from Samsung is any different, or any of the well known keyboards are.",2024-12-26T10:03:12-08:00,2024.10.00,android
Mark Kincaid,5,Thank you community America credit Union I love you people good job everyone Happy New Year,2024-12-26T08:42:07-08:00,Unknown,android
Shane Gliser,4,Not bad. Could use some optimization for the Z-Fold series.,2024-12-24T10:50:41-08:00,2024.10.00,android
Shawn Kovac,2,i'm disappointed in the usability of the app. the app stalls on too many pages & doesn't load that screen. and too many permissions just feel too invasive to me. but i like CACU more than any bank.,2024-12-23T16:14:32-08:00,2024.10.00,android
Kanisha Stewart,5,It is a lot easier to work on.,2024-12-22T19:08:04-08:00,2024.10.00,android
Marianne Lightle,1,This app is not reliable. You have to make several attempts to even open it. It is frequently down. It is a misery to use.,2024-12-20T21:52:48-08:00,2024.10.00,android
S. M.,5,works great,2024-12-16T14:58:35-08:00,2024.10.00,android
Patrick T,1,"Their attempts to make the app more secure, are making it less so. I have my business account saved ****xyz, and my personal one linked to my biometric login (now are in plain text, but also are typing immediately followed by my password) . Now not only am I typing that ""insecure keyboard"" - per cacu. But also in plain text ""overlay might be present"" - pet cacu. Yes I know my phone, but oh what about that guy behind me too.",2024-12-16T14:07:49-08:00,2024.10.00,android
Pedro Burciaga,5,Convenient,2024-12-14T07:10:14-08:00,2024.10.00,android
stephen george,5,User friendly!!,2024-12-13T11:54:02-08:00,2024.10.00,android
Wade Beck,5,App is very fast and very well organized to quickly get to all of our accounts. Bank features in the app are very intuitive and easy to use. High quality and very well designed.,2024-12-13T11:30:48-08:00,2024.10.00,android
Tj Norris,5,Very friendly in all the ones I have used. Fast service!!!!,2024-12-13T11:00:36-08:00,Unknown,android
William Kerr,4,Awesome every time,2024-12-13T10:11:33-08:00,Unknown,android
Vicki Croan,5,"Love my CACU account! Easy to use, even from Kentucky!",2024-12-13T08:55:25-08:00,2024.10.00,android
shawn early,5,👍,2024-12-12T16:41:04-08:00,2024.10.00,android
Chase Jones,1,"Mobile deposit camera sucks. 1 day to review checks two days to process and over 4 days for larger checks. How is someone supposed to run a business with this going on. SWITCH TO CRYPTO, NO BANKS NO HOLD TIMES! My checks use to not be held for review the first two years that i used this app, they would be pending. Now every check is held for days. THIS APP SUCKS! I may be switching banks over this. The check scanner cant even take a picture of the back of the check.",2024-12-12T08:31:44-08:00,2024.10.00,android
Jesse Hernandez,5,everything works how it is supposed to,2024-12-10T21:34:50-08:00,2024.10.00,android
Brandon Lee,5,I have been with several banks throughout my life and Community America has a top tier mobile banking app that performs above most.,2024-12-10T15:22:03-08:00,2024.10.00,android
Loyd Holsted,5,Good app,2024-12-10T09:28:05-08:00,2024.10.00,android
M Butler,4,Logging in delays and no accessibility at all at times. Justlikenow!,2024-12-09T14:04:40-08:00,2024.10.00,android
kathie carpenter-brooks,5,Always someone to help.,2024-12-09T12:55:01-08:00,2024.10.00,android
Marva Burke,5,Easy to use,2024-12-08T08:25:00-08:00,2024.07.00,android
